組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
003000000	イノチオアグリ㈱	総受注高	9948521433.0	14000000000.0	71.0	86.2
003000000	イノチオアグリ㈱	【新築】受注高	2353053310.0	5136000000.0	45.8	64.2
003000000	イノチオアグリ㈱	【リフォ】受注高	2403006920.0	3864000000.0	62.1	74.0
003000000	イノチオアグリ㈱	【資材】受注高	5192461203.0	5000000000.0	103.8	112.3
003000000	イノチオアグリ㈱	総売上高	10472497275.0	14000000000.0	74.8	79.5
003000000	イノチオアグリ㈱	【新築】売上高	2776439310.0	5150000000.0	53.9	53.4
003000000	イノチオアグリ㈱	【リフォ】売上高	2652123270.0	3850000000.0	68.8	79.0
003000000	イノチオアグリ㈱	【資材】売上高	5045686924.0	5001752000.0	100.8	109.4
003000000	イノチオアグリ㈱	【新築】インセンティブ	0.0	0.0		
003000000	イノチオアグリ㈱	【リフォ】インセンティブ	0.0	0.0		
003000000	イノチオアグリ㈱	【資材】インセンティブ	-1752229.0	-1752000.0		
003000000	イノチオアグリ㈱	収益①（営業口銭）	536738418.0	835000000.0	64.2	68.6
003000000	イノチオアグリ㈱	【新築】収益①(営業口銭)	138919964.0	257500000.0	53.9	49.8
003000000	イノチオアグリ㈱	【リフォ】収益①(営業口銭)	397818454.0	577500000.0	68.8	79.1
003000000	イノチオアグリ㈱	【資材】売上原価	3999727962.0	3970100000.0	100.7	107.2
003000000	イノチオアグリ㈱	収益②（資材）	1044206733.0	1029900000.0	101.3	118.8
003000000	イノチオアグリ㈱	総収益	1580945151.0	1864900000.0	84.7	95.3
003000000	イノチオアグリ㈱	総出荷	7605742618.0	11766000000.0	64.6	69.4
003000000	イノチオアグリ㈱	社外売	5428562580.0	9000000000.0	60.3	63.4
003000000	イノチオアグリ㈱	社内売	2177180038.0	2766000000.0	78.7	91.0
003000000	イノチオアグリ㈱	社内仕入	1636002048.0	2372004749.0	68.9	86.4
003000000	イノチオアグリ㈱	仕掛1	-5009030.0	11607697.0		
003000000	イノチオアグリ㈱	総生産	5974749600.0	9382387554.0	63.6	68.1
003000000	イノチオアグリ㈱	経費合計	6294839177.0	9197306145.0	68.4	72.3
003000000	イノチオアグリ㈱	経費合計(原価)	4782206728.0	7392657554.0	64.6	68.3
003000000	イノチオアグリ㈱	仕掛2	129677042.0	124720931.0	103.9	53.7
003000000	イノチオアグリ㈱	商品仕入高	2253432839.0	3629332598.0	62.0	78.7
003000000	イノチオアグリ㈱	原材料費	749920021.0	934809800.0	80.2	88.3
003000000	イノチオアグリ㈱	外注加工費	1561105584.0	2613553732.0	59.7	51.1
003000000	イノチオアグリ㈱	その他 直接経費	99028045.0	101870493.0	97.2	
003000000	イノチオアグリ㈱	他勘定振替高	-10956803.0	-11630000.0		
003000000	イノチオアグリ㈱	経費合計（販管費）	1512632449.0	1804648591.0	83.8	88.3
003000000	イノチオアグリ㈱	減価償却費	104732802.0	103420443.0	101.2	109.9
003000000	イノチオアグリ㈱	車両費	143359157.0	142452509.0	100.6	107.7
003000000	イノチオアグリ㈱	旅費交通費	61537434.0	61061127.0	100.7	88.5
003000000	イノチオアグリ㈱	荷造運搬費	36065656.0	36976495.0	97.5	94.9
003000000	イノチオアグリ㈱	通信費	17685250.0	17877679.0	98.9	107.8
003000000	イノチオアグリ㈱	水道光熱費	15984128.0	16506052.0	96.8	109.9
003000000	イノチオアグリ㈱	動力費	7478241.0	7950528.0	94.0	113.4
003000000	イノチオアグリ㈱	事務用品費	6620303.0	6739246.0	98.2	115.9
003000000	イノチオアグリ㈱	消耗品費	19450255.0	18065121.0	107.6	112.5
003000000	イノチオアグリ㈱	廃棄物処理料	10386702.0	9588076.0	108.3	92.7
003000000	イノチオアグリ㈱	広告宣伝費	30919611.0	30552098.0	101.2	127.2
003000000	イノチオアグリ㈱	接待交際費	8061527.0	8251215.0	97.7	110.6
003000000	イノチオアグリ㈱	研究開発費	13230000.0	13500000.0	98.0	455.8
003000000	イノチオアグリ㈱	アフターサービス費	0.0	0.0		
003000000	イノチオアグリ㈱	クレーム費	31751011.0	30360000.0	104.5	87.3
003000000	イノチオアグリ㈱	賃借料	167953238.0	167081596.0	100.5	102.0
003000000	イノチオアグリ㈱	賃貸料収入	-8600366.0	-7841992.0		
003000000	イノチオアグリ㈱	修繕費	6679262.0	8173210.0	81.7	126.6
003000000	イノチオアグリ㈱	支払リース料	1829333.0	1875986.0	97.5	140.2
003000000	イノチオアグリ㈱	保険料	10272587.0	9272558.0	110.7	100.0
003000000	イノチオアグリ㈱	支払報酬	8911846.0	8910598.0	100.0	111.1
003000000	イノチオアグリ㈱	販売手数料	0.0	0.0		0.0
003000000	イノチオアグリ㈱	支払手数料	18811898.0	18745997.0	100.3	103.1
003000000	イノチオアグリ㈱	診断料	2661650.0	2089000.0	127.4	135.5
