組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060B10300	EC営業課	総受注高	1102147124.0	1105000000.0	99.7	
060B10300	EC営業課	受注高	1102147124.0	1105000000.0	99.7	
060B10300	EC営業課	受注割戻高	0.0	0.0		
060B10300	EC営業課	総売上高	1071976706.0	1105000000.0	97.0	
060B10300	EC営業課	売上高	1071976706.0	1105000000.0	97.0	
060B10300	EC営業課	売上割戻高	0.0	0.0		
060B10300	EC営業課	売上原価	951148755.0	981000000.0	96.9	
060B10300	EC営業課	売上原価（割戻前）	951148755.0	981000000.0	96.9	
060B10300	EC営業課	仕入割戻高	0.0	0.0		
060B10300	EC営業課	総収益	120827951.0	124000000.0	97.4	
060B10300	EC営業課	経費合計	154583679.0	150669755.0	102.5	
060B10300	EC営業課	減価償却費	5096.0	5100.0	99.9	
060B10300	EC営業課	車両費	0.0	0.0		
060B10300	EC営業課	旅費交通費	245837.0	240000.0	102.4	
060B10300	EC営業課	荷造運搬費	7719420.0	10000000.0	77.1	
060B10300	EC営業課	通信費	268731.0	114466.0	234.7	
060B10300	EC営業課	水道光熱費	130302.0	134503.0	96.8	
060B10300	EC営業課	事務用品費	79912.0	78673.0	101.5	
060B10300	EC営業課	消耗品費	13067.0	11819.0	110.5	
060B10300	EC営業課	廃棄物処理料	30901.0	30841.0	100.1	
060B10300	EC営業課	広告宣伝費	0.0	0.0		
060B10300	EC営業課	接待交際費	7091.0	100000.0	7.0	
060B10300	EC営業課	研究開発費	0.0	0.0		
060B10300	EC営業課	賃借料	1541904.0	1541904.0	100.0	
060B10300	EC営業課	賃貸料収入	0.0	0.0		
060B10300	EC営業課	修繕費	0.0	0.0		
060B10300	EC営業課	支払リース料	21177.0	21181.0	99.9	
060B10300	EC営業課	保険料	111260.0	111620.0	99.6	
060B10300	EC営業課	支払報酬	0.0	0.0		
060B10300	EC営業課	販売手数料	123652230.0	118000000.0	104.7	
060B10300	EC営業課	支払手数料	0.0	0.0		
060B10300	EC営業課	診断料	0.0	0.0		
060B10300	EC営業課	諸会費	14858.0	18358.0	80.9	
