組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60700	GSO	総受注高	5940000.0	5940000.0	100.0	
230H60700	GSO	総売上高	5940000.0	5940000.0	100.0	
230H60700	GSO	売上高	0.0	0.0		
230H60700	GSO	グループ売上高	5940000.0	5940000.0	100.0	
230H60700	GSO	売上原価	0.0	0.0		
230H60700	GSO	仕入高	0.0	0.0		
230H60700	GSO	グループ仕入高	0.0	0.0		
230H60700	GSO	総収益	5940000.0	5940000.0	100.0	
230H60700	GSO	経費合計	17170392.0	18223544.0	94.2	
230H60700	GSO	減価償却費	136670.0	0.0		
230H60700	GSO	車両費	158151.0	179688.0	88.0	
230H60700	GSO	旅費交通費	1912955.0	2685000.0	71.2	
230H60700	GSO	荷造運搬費	21238.0	12000.0	176.9	
230H60700	GSO	通信費	211607.0	173729.0	121.8	
230H60700	GSO	水道光熱費	379019.0	392139.0	96.6	
230H60700	GSO	動力費	0.0	0.0		
230H60700	GSO	事務用品費	176271.0	180960.0	97.4	
230H60700	GSO	消耗品費	73814.0	59779.0	123.4	
230H60700	GSO	廃棄物処理料	33427.0	34369.0	97.2	
230H60700	GSO	広告宣伝費	2375206.0	2524102.0	94.1	
230H60700	GSO	接待交際費	160151.0	120000.0	133.4	
230H60700	GSO	研究開発費	0.0	0.0		
230H60700	GSO	賃借料	6416400.0	6416400.0	100.0	
230H60700	GSO	賃貸料収入	-120000.0	-120000.0		
230H60700	GSO	修繕費	4322.0	4304.0	100.4	
230H60700	GSO	支払リース料	151856.0	150696.0	100.7	
230H60700	GSO	保険料	0.0	0.0		
230H60700	GSO	支払報酬	1200000.0	1200000.0	100.0	
230H60700	GSO	支払手数料	218580.0	218580.0	100.0	
230H60700	GSO	診断料	0.0	0.0		
230H60700	GSO	諸会費	0.0	50000.0	0.0	
230H60700	GSO	会議費	26108.0	24000.0	108.7	
230H60700	GSO	寄付金	0.0	0.0		
230H60700	GSO	租税公課	0.0	0.0		
230H60700	GSO	業務委託費	0.0	0.0		
230H60700	GSO	業務受託収入	0.0	0.0		
230H60700	GSO	システム管理料	0.0	0.0		
230H60700	GSO	情報機器利用料	2617512.0	2560392.0	102.2	
230H60700	GSO	雑費	561269.0	565021.0	99.3	
230H60700	GSO	福利消耗品費	46359.0	291418.0	15.9	
230H60700	GSO	教育研修費	369167.0	500967.0	73.6	
230H60700	GSO	雑給	0.0	0.0		
230H60700	GSO	社内金利（固定資産）	40310.0	0.0		
230H60700	GSO	差引収益	-11230392.0	-12283544.0		
230H60700	GSO	差引比率	-189.0	-206.7		
230H60700	GSO	総時間	12326.0	12405.0	99.3	
230H60700	GSO	定時間	16825.5	16870.0	99.7	
230H60700	GSO	残業時間	1494.5	1523.0	98.1	
230H60700	GSO	移動時間	-5994.0	-5988.0		
230H60700	GSO	当月時間当り	-911.1	-990.2		
230H60700	GSO	人員	9.0	9.0	100.0	
230G50300	R&Dチーム	総受注高	3825200.0	3850000.0	99.3	
230G50300	R&Dチーム	総売上高	3825200.0	3850000.0	99.3	
230G50300	R&Dチーム	売上高	2240000.0	2240000.0	100.0	
230G50300	R&Dチーム	グループ売上高	1585200.0	1610000.0	98.4	
230G50300	R&Dチーム	売上原価	0.0	0.0		
230G50300	R&Dチーム	仕入高	0.0	0.0		
230G50300	R&Dチーム	グループ仕入高	0.0	0.0		
230G50300	R&Dチーム	総収益	3825200.0	3850000.0	99.3	
230G50300	R&Dチーム	経費合計	32404390.0	33589207.0	96.4	118.8
230G50300	R&Dチーム	減価償却費	3901641.0	2955340.0	132.0	267.3
230G50300	R&Dチーム	車両費	1755996.0	1741452.0	100.8	126.1
230G50300	R&Dチーム	旅費交通費	1208245.0	1207500.0	100.0	90.4
230G50300	R&Dチーム	荷造運搬費	20000.0	24000.0	83.3	691.8
230G50300	R&Dチーム	通信費	321829.0	320568.0	100.3	90.1
230G50300	R&Dチーム	水道光熱費	2181986.0	2230000.0	97.8	99.7
230G50300	R&Dチーム	動力費	880000.0	880000.0	100.0	260.2
230G50300	R&Dチーム	事務用品費	26298.0	27000.0	97.4	40.0
230G50300	R&Dチーム	消耗品費	285994.0	140000.0	204.2	30.5
230G50300	R&Dチーム	廃棄物処理料	173000.0	416000.0	41.5	32.8
230G50300	R&Dチーム	広告宣伝費	13124.0	0.0		3.8
230G50300	R&Dチーム	接待交際費	240560.0	261000.0	92.1	130.8
230G50300	R&Dチーム	研究開発費	8312667.0	8994000.0	92.4	126.4
230G50300	R&Dチーム	賃借料	8400000.0	8400000.0	100.0	101.2
230G50300	R&Dチーム	賃貸料収入	0.0	0.0		
230G50300	R&Dチーム	修繕費	816002.0	2017000.0	40.4	146.4
230G50300	R&Dチーム	支払リース料	26400.0	26400.0	100.0	83.4
230G50300	R&Dチーム	保険料	0.0	0.0		
230G50300	R&Dチーム	支払報酬	0.0	0.0		
230G50300	R&Dチーム	支払手数料	20700.0	24000.0	86.2	38.1
230G50300	R&Dチーム	診断料	389368.0	365000.0	106.6	
230G50300	R&Dチーム	諸会費	99000.0	98000.0	101.0	97.0
230G50300	R&Dチーム	会議費	18491.0	25000.0	73.9	73.0
230G50300	R&Dチーム	寄付金	5500.0	5500.0	100.0	
230G50300	R&Dチーム	租税公課	400.0	42500.0	0.9	0.7
230G50300	R&Dチーム	業務委託費	0.0	0.0		
230G50300	R&Dチーム	業務受託収入	0.0	0.0		
230G50300	R&Dチーム	システム管理料	0.0	0.0		
230G50300	R&Dチーム	情報機器利用料	1836510.0	1818960.0	100.9	104.7
230G50300	R&Dチーム	雑費	377594.0	376336.0	100.3	97.8
230G50300	R&Dチーム	福利消耗品費	9779.0	39000.0	25.0	16.4
230G50300	R&Dチーム	教育研修費	244574.0	239574.0	102.0	166.3
230G50300	R&Dチーム	雑給	0.0	0.0		
230G50300	R&Dチーム	社内金利（固定資産）	838732.0	915077.0	91.6	780.7
230G50300	R&Dチーム	差引収益	-28579190.0	-29739207.0		
230G50300	R&Dチーム	差引比率	-747.1	-772.4		
230G50300	R&Dチーム	総時間	15067.75	14894.5	101.1	101.4
230G50300	R&Dチーム	定時間	13272.0	13218.0	100.4	101.0
230G50300	R&Dチーム	残業時間	1192.75	1163.0	102.5	135.6
230G50300	R&Dチーム	移動時間	603.0	513.5	117.4	71.4
230G50300	R&Dチーム	当月時間当り	-1896.7	-1996.6		
230G50300	R&Dチーム	人員	8.0	8.0	100.0	100.0
001000000	イノチオホールディングス㈱	総受注高	357564499.0	358200000.0	99.8	97.6
001000000	イノチオホールディングス㈱	総売上高	357550499.0	358200000.0	99.8	97.6
001000000	イノチオホールディングス㈱	売上高	61118474.0	58663875.0	104.1	97.3
001000000	イノチオホールディングス㈱	グループ売上高	296432025.0	299536125.0	98.9	97.7
001000000	イノチオホールディングス㈱	売上原価	0.0	0.0		
001000000	イノチオホールディングス㈱	仕入高	0.0	0.0		
001000000	イノチオホールディングス㈱	グループ仕入高	0.0	0.0		
001000000	イノチオホールディングス㈱	総収益	357550499.0	358200000.0	99.8	97.6
001000000	イノチオホールディングス㈱	経費合計	296567735.0	338380000.0	87.6	95.4
001000000	イノチオホールディングス㈱	減価償却費	92632849.0	91529877.0	101.2	99.5
001000000	イノチオホールディングス㈱	車両費	3398027.0	3426076.0	99.1	100.2
001000000	イノチオホールディングス㈱	旅費交通費	9209070.0	10541668.0	87.3	102.1
001000000	イノチオホールディングス㈱	荷造運搬費	406919.0	340600.0	119.4	128.5
001000000	イノチオホールディングス㈱	通信費	2583952.0	2378422.0	108.6	99.7
001000000	イノチオホールディングス㈱	水道光熱費	8112975.0	8375182.0	96.8	105.4
001000000	イノチオホールディングス㈱	動力費	880000.0	880000.0	100.0	105.2
001000000	イノチオホールディングス㈱	事務用品費	631211.0	657792.0	95.9	106.3
001000000	イノチオホールディングス㈱	消耗品費	4469322.0	4358604.0	102.5	148.8
001000000	イノチオホールディングス㈱	廃棄物処理料	708869.0	1102373.0	64.3	60.7
001000000	イノチオホールディングス㈱	広告宣伝費	3214330.0	3230102.0	99.5	158.8
001000000	イノチオホールディングス㈱	接待交際費	13927527.0	13890000.0	100.2	553.6
001000000	イノチオホールディングス㈱	研究開発費	8312667.0	8994000.0	92.4	126.4
001000000	イノチオホールディングス㈱	賃借料	22051588.0	22151588.0	99.5	101.3
001000000	イノチオホールディングス㈱	賃貸料収入	-8970629.0	-8610629.0		
001000000	イノチオホールディングス㈱	修繕費	9520346.0	15127239.0	62.9	51.1
001000000	イノチオホールディングス㈱	支払リース料	1202552.0	1260868.0	95.3	108.8
001000000	イノチオホールディングス㈱	保険料	5575236.0	5492256.0	101.5	101.8
001000000	イノチオホールディングス㈱	支払報酬	55872328.0	55262794.0	101.1	131.4
001000000	イノチオホールディングス㈱	支払手数料	9996193.0	9979610.0	100.1	97.5
