組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
012090100	ランドサイエンス本社	総受注高	0.0	0.0		
012090100	ランドサイエンス本社	総売上高	0.0	0.0		
012090100	ランドサイエンス本社	売上高	0.0	0.0		
012090100	ランドサイエンス本社	売上値引	0.0	0.0		
012090100	ランドサイエンス本社	売上原価	0.0	0.0		
012090100	ランドサイエンス本社	総収益	0.0	0.0		
012090100	ランドサイエンス本社	経費合計	12079525.0	4858919.0	248.6	62.6
012090100	ランドサイエンス本社	減価償却費	14254662.0	8216829.0	173.4	178.4
012090100	ランドサイエンス本社	車両費	492044.0	502445.0	97.9	305.8
012090100	ランドサイエンス本社	旅費交通費	1448097.0	1401078.0	103.3	79.5
012090100	ランドサイエンス本社	荷造運搬費	7405.0	7405.0	100.0	1.7
012090100	ランドサイエンス本社	通信費	64891.0	60669.0	106.9	88.8
012090100	ランドサイエンス本社	水道光熱費	17533.0	10530.0	166.5	27.7
012090100	ランドサイエンス本社	事務用品費	344254.0	344254.0	100.0	42.0
012090100	ランドサイエンス本社	消耗品費	2509.0	491.0	510.9	0.8
012090100	ランドサイエンス本社	廃棄物処理料	0.0	0.0		
012090100	ランドサイエンス本社	広告宣伝費	290210.0	289991.0	100.0	129.8
012090100	ランドサイエンス本社	接待交際費	1512390.0	1496339.0	101.0	150.5
012090100	ランドサイエンス本社	賃借料	768000.0	768000.0	100.0	94.6
012090100	ランドサイエンス本社	賃貸料収入	-120000.0	0.0		
012090100	ランドサイエンス本社	修繕費	0.0	0.0		
012090100	ランドサイエンス本社	支払リース料	213600.0	1113600.0	19.1	15.9
012090100	ランドサイエンス本社	保険料	835560.0	819230.0	101.9	90.2
012090100	ランドサイエンス本社	支払報酬	686420.0	686420.0	100.0	
012090100	ランドサイエンス本社	販売手数料	0.0	0.0		
012090100	ランドサイエンス本社	支払手数料	7342704.0	5322651.0	137.9	72.4
012090100	ランドサイエンス本社	診断料	0.0	0.0		
012090100	ランドサイエンス本社	諸会費	2602260.0	2608260.0	99.7	99.3
012090100	ランドサイエンス本社	会議費	6737.0	6737.0	100.0	100.0
012090100	ランドサイエンス本社	寄付金	50500.0	50500.0	100.0	100.0
012090100	ランドサイエンス本社	租税公課	1882500.0	1930000.0	97.5	97.5
012090100	ランドサイエンス本社	業務委託費	0.0	0.0		
012090100	ランドサイエンス本社	業務受託収入	-24600000.0	0.0		
012090100	ランドサイエンス本社	システム管理料	0.0	0.0		
012090100	ランドサイエンス本社	情報機器利用料	451760.0	366600.0	123.2	129.1
012090100	ランドサイエンス本社	貸倒金	0.0	0.0		
012090100	ランドサイエンス本社	雑費	20000.0	13000.0	153.8	3.4
012090100	ランドサイエンス本社	福利消耗品費	2232.0	0.0		
012090100	ランドサイエンス本社	教育研修費	40000.0	40000.0	100.0	
012090100	ランドサイエンス本社	廃棄損・減耗損	0.0	0.0		
012090100	ランドサイエンス本社	雑給	0.0	0.0		
012090100	ランドサイエンス本社	社内金利（固定資産）	3463257.0	3403890.0	101.7	
012090100	ランドサイエンス本社	社内金利（売掛金）	0.0	0.0		
012090100	ランドサイエンス本社	部門共通（経費）	0.0	0.0		
012090100	ランドサイエンス本社	グループ共通	0.0	-24600000.0		
012090100	ランドサイエンス本社	差引収益	-12079525.0	-4858919.0		
012090100	ランドサイエンス本社	差引比率	0.0	0.0		
012090100	ランドサイエンス本社	総時間	2223.0	2233.0	99.5	99.1
012090100	ランドサイエンス本社	定時間	1976.0	1984.0	99.5	99.1
012090100	ランドサイエンス本社	残業時間	247.0	249.0	99.1	99.1
