組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
006000000	イノチオ農芸㈱	総受注高	313301646.0	314000000.0	99.7	118.3
006000000	イノチオ農芸㈱	総売上高	313301646.0	314000000.0	99.7	118.3
006000000	イノチオ農芸㈱	売上高	199563954.0	200000000.0	99.7	105.6
006000000	イノチオ農芸㈱	グループ売上高	113737692.0	114000000.0	99.7	150.2
006000000	イノチオ農芸㈱	社内売上高	0.0	0.0		
006000000	イノチオ農芸㈱	販売奨励金	0.0	0.0		
006000000	イノチオ農芸㈱	売上原価	1680400.0	1700000.0	98.8	116.6
006000000	イノチオ農芸㈱	仕入高	0.0	0.0		
006000000	イノチオ農芸㈱	グループ仕入高	0.0	0.0		
006000000	イノチオ農芸㈱	社内仕入高	0.0	0.0		
006000000	イノチオ農芸㈱	荷造運搬費	1680400.0	1700000.0	98.8	116.6
006000000	イノチオ農芸㈱	販売手数料	0.0	0.0		
006000000	イノチオ農芸㈱	総収益	311621246.0	312300000.0	99.7	118.4
006000000	イノチオ農芸㈱	経費合計	224196848.0	225300000.0	99.5	116.5
006000000	イノチオ農芸㈱	経費合計（原価）	209738053.0	210708900.0	99.5	116.1
006000000	イノチオ農芸㈱	種苗費*	139073270.0	139694600.0	99.5	111.5
006000000	イノチオ農芸㈱	肥料費*	3092265.0	3185000.0	97.0	103.5
006000000	イノチオ農芸㈱	培土費用*	603475.0	610000.0	98.9	96.7
006000000	イノチオ農芸㈱	農薬衛生費*	4555214.0	4605000.0	98.9	119.7
006000000	イノチオ農芸㈱	農具費*	3344229.0	3189500.0	104.8	284.3
006000000	イノチオ農芸㈱	諸材料費*	11980616.0	12306000.0	97.3	104.3
006000000	イノチオ農芸㈱	その他仕入高*	0.0	0.0		
006000000	イノチオ農芸㈱	減価償却費*	13527783.0	13545300.0	99.8	100.4
006000000	イノチオ農芸㈱	車両費*	0.0	0.0		
006000000	イノチオ農芸㈱	水道光熱費*	0.0	0.0		
006000000	イノチオ農芸㈱	動力費*	5753733.0	5785000.0	99.4	118.9
006000000	イノチオ農芸㈱	燃料費*	18358819.0	18510000.0	99.1	175.7
006000000	イノチオ農芸㈱	賃借料*	4155343.0	4156000.0	99.9	100.1
006000000	イノチオ農芸㈱	修繕費*	3318876.0	3404500.0	97.4	573.6
006000000	イノチオ農芸㈱	診断料*	0.0	0.0		
006000000	イノチオ農芸㈱	租税公課*	0.0	0.0		
006000000	イノチオ農芸㈱	業務委託費*	180000.0	180000.0	100.0	75.0
006000000	イノチオ農芸㈱	雑費*	1794430.0	1538000.0	116.6	86.8
006000000	イノチオ農芸㈱	雑給*	0.0	0.0		
006000000	イノチオ農芸㈱	経費合計（販管費）	14458795.0	14591100.0	99.0	122.6
006000000	イノチオ農芸㈱	減価償却費	119729.0	120000.0	99.7	101.5
006000000	イノチオ農芸㈱	車両費	2767739.0	2805000.0	98.6	104.2
006000000	イノチオ農芸㈱	旅費交通費	342663.0	350000.0	97.9	343.9
006000000	イノチオ農芸㈱	通信費	950114.0	948000.0	100.2	109.9
006000000	イノチオ農芸㈱	水道光熱費	68054.0	67600.0	100.6	94.0
006000000	イノチオ農芸㈱	事務用品費	129787.0	132000.0	98.3	140.3
006000000	イノチオ農芸㈱	消耗品費	325744.0	335000.0	97.2	51.0
006000000	イノチオ農芸㈱	廃棄物処理料	469364.0	530000.0	88.5	68.5
006000000	イノチオ農芸㈱	広告宣伝費	0.0	0.0		0.0
006000000	イノチオ農芸㈱	接待交際費	20000.0	20000.0	100.0	91.4
006000000	イノチオ農芸㈱	賃借料	109191.0	109200.0	99.9	100.0
006000000	イノチオ農芸㈱	賃貸料収入	0.0	0.0		
006000000	イノチオ農芸㈱	修繕費	100000.0	100000.0	100.0	104.2
006000000	イノチオ農芸㈱	支払リース料	91000.0	91100.0	99.8	115.3
006000000	イノチオ農芸㈱	保険料	565284.0	566400.0	99.8	157.7
006000000	イノチオ農芸㈱	支払報酬	1031000.0	1030000.0	100.0	98.4
006000000	イノチオ農芸㈱	支払手数料	635041.0	636000.0	99.8	88.6
006000000	イノチオ農芸㈱	診断料	325200.0	321600.0	101.1	113.0
006000000	イノチオ農芸㈱	諸会費	73000.0	73000.0	100.0	100.6
006000000	イノチオ農芸㈱	会議費	0.0	0.0		
006000000	イノチオ農芸㈱	寄付金	0.0	0.0		
006000000	イノチオ農芸㈱	租税公課	979000.0	979000.0	100.0	109.6
006000000	イノチオ農芸㈱	業務委託費	0.0	0.0		
006000000	イノチオ農芸㈱	業務受託収入	-1368000.0	-1406000.0		
006000000	イノチオ農芸㈱	情報機器利用料	1732210.0	1776000.0	97.5	122.5
006000000	イノチオ農芸㈱	貸倒金	0.0	0.0		
006000000	イノチオ農芸㈱	雑費	848933.0	848200.0	100.0	99.1
